MB (UR),2-digit level  MTWP Method of Travel to Work,Count
40003353000,Motorbike/scooter,0
40003353000,"Car, as driver",3
40003353000,"Car, as passenger",0
40003353000,Bicycle,0
40003353000,Walked only,0
40003353000,Train,0
40003353000,Bus,0
40003353000,Taxi/ride-share service,0
40003353000,Other Mode,0
40003353000,Total,4
40003360000,Motorbike/scooter,0
40003360000,"Car, as driver",17
40003360000,"Car, as passenger",0
40003360000,Bicycle,0
40003360000,Walked only,6
40003360000,Train,0
40003360000,Bus,7
40003360000,Taxi/ride-share service,0
40003360000,Other Mode,0
40003360000,Total,22
40003470000,Motorbike/scooter,0
40003470000,"Car, as driver",15
40003470000,"Car, as passenger",0
40003470000,Bicycle,0
40003470000,Walked only,0
40003470000,Train,0
40003470000,Bus,4
40003470000,Taxi/ride-share service,0
40003470000,Other Mode,0
40003470000,Total,23
40003480000,Motorbike/scooter,0
40003480000,"Car, as driver",9
40003480000,"Car, as passenger",0
40003480000,Bicycle,0
40003480000,Walked only,4
40003480000,Train,0
40003480000,Bus,4
40003480000,Taxi/ride-share service,0
40003480000,Other Mode,0
40003480000,Total,22
40003500000,Motorbike/scooter,0
40003500000,"Car, as driver",12
40003500000,"Car, as passenger",0
40003500000,Bicycle,0
40003500000,Walked only,3
40003500000,Train,0
40003500000,Bus,5
40003500000,Taxi/ride-share service,0
40003500000,Other Mode,0
40003500000,Total,28
40003510000,Motorbike/scooter,0
40003510000,"Car, as driver",26
40003510000,"Car, as passenger",0
40003510000,Bicycle,0
40003510000,Walked only,4
40003510000,Train,0
40003510000,Bus,5
40003510000,Taxi/ride-share service,0
40003510000,Other Mode,0
40003510000,Total,37
40003520000,Motorbike/scooter,0
40003520000,"Car, as driver",21
40003520000,"Car, as passenger",4
40003520000,Bicycle,0
40003520000,Walked only,0
40003520000,Train,0
40003520000,Bus,6
40003520000,Taxi/ride-share service,0
40003520000,Other Mode,0
40003520000,Total,28
40003530000,Motorbike/scooter,0
40003530000,"Car, as driver",9
40003530000,"Car, as passenger",6
40003530000,Bicycle,0
40003530000,Walked only,3
40003530000,Train,0
40003530000,Bus,10
40003530000,Taxi/ride-share service,0
40003530000,Other Mode,0
40003530000,Total,26
40003540000,Motorbike/scooter,0
40003540000,"Car, as driver",8
40003540000,"Car, as passenger",4
40003540000,Bicycle,3
40003540000,Walked only,0
40003540000,Train,0
40003540000,Bus,7
40003540000,Taxi/ride-share service,0
40003540000,Other Mode,0
40003540000,Total,22
40003550000,Motorbike/scooter,0
40003550000,"Car, as driver",8
40003550000,"Car, as passenger",0
40003550000,Bicycle,0
40003550000,Walked only,0
40003550000,Train,0
40003550000,Bus,0
40003550000,Taxi/ride-share service,0
40003550000,Other Mode,0
40003550000,Total,7
40003560000,Motorbike/scooter,0
40003560000,"Car, as driver",22
40003560000,"Car, as passenger",0
40003560000,Bicycle,0
40003560000,Walked only,5
40003560000,Train,0
40003560000,Bus,5
40003560000,Taxi/ride-share service,0
40003560000,Other Mode,0
40003560000,Total,28
40003580000,Motorbike/scooter,0
40003580000,"Car, as driver",12
40003580000,"Car, as passenger",0
40003580000,Bicycle,0
40003580000,Walked only,7
40003580000,Train,0
40003580000,Bus,3
40003580000,Taxi/ride-share service,0
40003580000,Other Mode,0
40003580000,Total,26
40003590000,Motorbike/scooter,0
40003590000,"Car, as driver",17
40003590000,"Car, as passenger",4
40003590000,Bicycle,0
40003590000,Walked only,8
40003590000,Train,0
40003590000,Bus,0
40003590000,Taxi/ride-share service,0
40003590000,Other Mode,0
40003590000,Total,29
40003600000,Motorbike/scooter,0
40003600000,"Car, as driver",18
40003600000,"Car, as passenger",0
40003600000,Bicycle,0
40003600000,Walked only,0
40003600000,Train,0
40003600000,Bus,9
40003600000,Taxi/ride-share service,0
40003600000,Other Mode,0
40003600000,Total,27
40003610000,Motorbike/scooter,0
40003610000,"Car, as driver",3
40003610000,"Car, as passenger",0
40003610000,Bicycle,0
40003610000,Walked only,0
40003610000,Train,0
40003610000,Bus,0
40003610000,Taxi/ride-share service,0
40003610000,Other Mode,0
40003610000,Total,7
40003621000,Motorbike/scooter,0
40003621000,"Car, as driver",10
40003621000,"Car, as passenger",0
40003621000,Bicycle,0
40003621000,Walked only,0
40003621000,Train,0
40003621000,Bus,0
40003621000,Taxi/ride-share service,0
40003621000,Other Mode,0
40003621000,Total,8
40003622000,Motorbike/scooter,0
40003622000,"Car, as driver",0
40003622000,"Car, as passenger",0
40003622000,Bicycle,0
40003622000,Walked only,0
40003622000,Train,0
40003622000,Bus,0
40003622000,Taxi/ride-share service,0
40003622000,Other Mode,0
40003622000,Total,0
40003623000,Motorbike/scooter,0
40003623000,"Car, as driver",0
40003623000,"Car, as passenger",0
40003623000,Bicycle,0
40003623000,Walked only,0
40003623000,Train,0
40003623000,Bus,0
40003623000,Taxi/ride-share service,0
40003623000,Other Mode,0
40003623000,Total,0
40003630000,Motorbike/scooter,0
40003630000,"Car, as driver",7
40003630000,"Car, as passenger",0
40003630000,Bicycle,0
40003630000,Walked only,3
40003630000,Train,0
40003630000,Bus,0
40003630000,Taxi/ride-share service,0
40003630000,Other Mode,0
40003630000,Total,7
40003640000,Motorbike/scooter,0
40003640000,"Car, as driver",16
40003640000,"Car, as passenger",0
40003640000,Bicycle,0
40003640000,Walked only,4
40003640000,Train,0
40003640000,Bus,0
40003640000,Taxi/ride-share service,0
40003640000,Other Mode,0
40003640000,Total,25
40003650000,Motorbike/scooter,0
40003650000,"Car, as driver",0
40003650000,"Car, as passenger",0
40003650000,Bicycle,0
40003650000,Walked only,0
40003650000,Train,0
40003650000,Bus,0
40003650000,Taxi/ride-share service,0
40003650000,Other Mode,0
40003650000,Total,0
40003660000,Motorbike/scooter,0
40003660000,"Car, as driver",0
40003660000,"Car, as passenger",0
40003660000,Bicycle,0
40003660000,Walked only,0
40003660000,Train,0
40003660000,Bus,0
40003660000,Taxi/ride-share service,0
40003660000,Other Mode,0
40003660000,Total,0
40003670000,Motorbike/scooter,0
40003670000,"Car, as driver",16
40003670000,"Car, as passenger",0
40003670000,Bicycle,0
40003670000,Walked only,0
40003670000,Train,0
40003670000,Bus,0
40003670000,Taxi/ride-share service,0
40003670000,Other Mode,0
40003670000,Total,25
40003680000,Motorbike/scooter,0
40003680000,"Car, as driver",18
40003680000,"Car, as passenger",0
40003680000,Bicycle,0
40003680000,Walked only,7
40003680000,Train,0
40003680000,Bus,6
40003680000,Taxi/ride-share service,0
40003680000,Other Mode,0
40003680000,Total,32
40003710000,Motorbike/scooter,0
40003710000,"Car, as driver",3
40003710000,"Car, as passenger",0
40003710000,Bicycle,0
40003710000,Walked only,0
40003710000,Train,0
40003710000,Bus,0
40003710000,Taxi/ride-share service,0
40003710000,Other Mode,0
40003710000,Total,3
40003720000,Motorbike/scooter,0
40003720000,"Car, as driver",10
40003720000,"Car, as passenger",0
40003720000,Bicycle,0
40003720000,Walked only,5
40003720000,Train,0
40003720000,Bus,0
40003720000,Taxi/ride-share service,0
40003720000,Other Mode,0
40003720000,Total,11
40003730000,Motorbike/scooter,0
40003730000,"Car, as driver",9
40003730000,"Car, as passenger",0
40003730000,Bicycle,0
40003730000,Walked only,8
40003730000,Train,0
40003730000,Bus,8
40003730000,Taxi/ride-share service,0
40003730000,Other Mode,0
40003730000,Total,25
40003740000,Motorbike/scooter,0
40003740000,"Car, as driver",14
40003740000,"Car, as passenger",0
40003740000,Bicycle,0
40003740000,Walked only,4
40003740000,Train,0
40003740000,Bus,0
40003740000,Taxi/ride-share service,0
40003740000,Other Mode,0
40003740000,Total,27
40003750000,Motorbike/scooter,0
40003750000,"Car, as driver",4
40003750000,"Car, as passenger",0
40003750000,Bicycle,0
40003750000,Walked only,9
40003750000,Train,0
40003750000,Bus,0
40003750000,Taxi/ride-share service,0
40003750000,Other Mode,0
40003750000,Total,13
40003790000,Motorbike/scooter,0
40003790000,"Car, as driver",0
40003790000,"Car, as passenger",0
40003790000,Bicycle,0
40003790000,Walked only,0
40003790000,Train,0
40003790000,Bus,0
40003790000,Taxi/ride-share service,0
40003790000,Other Mode,0
40003790000,Total,0
40214962800,Motorbike/scooter,0
40214962800,"Car, as driver",16
40214962800,"Car, as passenger",0
40214962800,Bicycle,0
40214962800,Walked only,5
40214962800,Train,0
40214962800,Bus,0
40214962800,Taxi/ride-share service,0
40214962800,Other Mode,0
40214962800,Total,30
40214967500,Motorbike/scooter,0
40214967500,"Car, as driver",0
40214967500,"Car, as passenger",0
40214967500,Bicycle,0
40214967500,Walked only,3
40214967500,Train,0
40214967500,Bus,0
40214967500,Taxi/ride-share service,0
40214967500,Other Mode,0
40214967500,Total,4
40214967600,Motorbike/scooter,0
40214967600,"Car, as driver",8
40214967600,"Car, as passenger",0
40214967600,Bicycle,3
40214967600,Walked only,8
40214967600,Train,0
40214967600,Bus,5
40214967600,Taxi/ride-share service,0
40214967600,Other Mode,0
40214967600,Total,25
40214967700,Motorbike/scooter,0
40214967700,"Car, as driver",0
40214967700,"Car, as passenger",0
40214967700,Bicycle,0
40214967700,Walked only,0
40214967700,Train,0
40214967700,Bus,0
40214967700,Taxi/ride-share service,0
40214967700,Other Mode,0
40214967700,Total,0
40214969900,Motorbike/scooter,0
40214969900,"Car, as driver",6
40214969900,"Car, as passenger",0
40214969900,Bicycle,0
40214969900,Walked only,7
40214969900,Train,0
40214969900,Bus,0
40214969900,Taxi/ride-share service,0
40214969900,Other Mode,0
40214969900,Total,18
40214971500,Motorbike/scooter,0
40214971500,"Car, as driver",0
40214971500,"Car, as passenger",0
40214971500,Bicycle,0
40214971500,Walked only,0
40214971500,Train,0
40214971500,Bus,0
40214971500,Taxi/ride-share service,0
40214971500,Other Mode,0
40214971500,Total,0
40214975400,Motorbike/scooter,0
40214975400,"Car, as driver",14
40214975400,"Car, as passenger",0
40214975400,Bicycle,5
40214975400,Walked only,3
40214975400,Train,0
40214975400,Bus,0
40214975400,Taxi/ride-share service,0
40214975400,Other Mode,0
40214975400,Total,23
40214975500,Motorbike/scooter,0
40214975500,"Car, as driver",14
40214975500,"Car, as passenger",0
40214975500,Bicycle,0
40214975500,Walked only,7
40214975500,Train,0
40214975500,Bus,6
40214975500,Taxi/ride-share service,0
40214975500,Other Mode,0
40214975500,Total,32
40215006700,Motorbike/scooter,0
40215006700,"Car, as driver",0
40215006700,"Car, as passenger",0
40215006700,Bicycle,0
40215006700,Walked only,0
40215006700,Train,0
40215006700,Bus,0
40215006700,Taxi/ride-share service,0
40215006700,Other Mode,0
40215006700,Total,0
40215011400,Motorbike/scooter,0
40215011400,"Car, as driver",10
40215011400,"Car, as passenger",0
40215011400,Bicycle,0
40215011400,Walked only,0
40215011400,Train,0
40215011400,Bus,0
40215011400,Taxi/ride-share service,0
40215011400,Other Mode,0
40215011400,Total,12
40215023200,Motorbike/scooter,0
40215023200,"Car, as driver",0
40215023200,"Car, as passenger",0
40215023200,Bicycle,0
40215023200,Walked only,0
40215023200,Train,0
40215023200,Bus,0
40215023200,Taxi/ride-share service,0
40215023200,Other Mode,0
40215023200,Total,0
40215023300,Motorbike/scooter,0
40215023300,"Car, as driver",42
40215023300,"Car, as passenger",0
40215023300,Bicycle,0
40215023300,Walked only,11
40215023300,Train,0
40215023300,Bus,3
40215023300,Taxi/ride-share service,0
40215023300,Other Mode,0
40215023300,Total,58
40215031100,Motorbike/scooter,0
40215031100,"Car, as driver",45
40215031100,"Car, as passenger",5
40215031100,Bicycle,0
40215031100,Walked only,15
40215031100,Train,0
40215031100,Bus,7
40215031100,Taxi/ride-share service,0
40215031100,Other Mode,0
40215031100,Total,74
40215067700,Motorbike/scooter,0
40215067700,"Car, as driver",0
40215067700,"Car, as passenger",0
40215067700,Bicycle,0
40215067700,Walked only,0
40215067700,Train,0
40215067700,Bus,0
40215067700,Taxi/ride-share service,0
40215067700,Other Mode,0
40215067700,Total,0
40215141800,Motorbike/scooter,0
40215141800,"Car, as driver",0
40215141800,"Car, as passenger",0
40215141800,Bicycle,0
40215141800,Walked only,0
40215141800,Train,0
40215141800,Bus,0
40215141800,Taxi/ride-share service,0
40215141800,Other Mode,0
40215141800,Total,0
40215244500,Motorbike/scooter,0
40215244500,"Car, as driver",7
40215244500,"Car, as passenger",0
40215244500,Bicycle,0
40215244500,Walked only,0
40215244500,Train,0
40215244500,Bus,0
40215244500,Taxi/ride-share service,0
40215244500,Other Mode,0
40215244500,Total,11
40215247100,Motorbike/scooter,0
40215247100,"Car, as driver",0
40215247100,"Car, as passenger",0
40215247100,Bicycle,0
40215247100,Walked only,0
40215247100,Train,0
40215247100,Bus,0
40215247100,Taxi/ride-share service,0
40215247100,Other Mode,0
40215247100,Total,0
40215255700,Motorbike/scooter,0
40215255700,"Car, as driver",3
40215255700,"Car, as passenger",0
40215255700,Bicycle,0
40215255700,Walked only,0
40215255700,Train,0
40215255700,Bus,0
40215255700,Taxi/ride-share service,0
40215255700,Other Mode,0
40215255700,Total,5
40215256100,Motorbike/scooter,0
40215256100,"Car, as driver",4
40215256100,"Car, as passenger",3
40215256100,Bicycle,0
40215256100,Walked only,4
40215256100,Train,0
40215256100,Bus,5
40215256100,Taxi/ride-share service,0
40215256100,Other Mode,0
40215256100,Total,14
40215276200,Motorbike/scooter,0
40215276200,"Car, as driver",0
40215276200,"Car, as passenger",0
40215276200,Bicycle,0
40215276200,Walked only,0
40215276200,Train,0
40215276200,Bus,0
40215276200,Taxi/ride-share service,0
40215276200,Other Mode,0
40215276200,Total,0
40215320900,Motorbike/scooter,0
40215320900,"Car, as driver",13
40215320900,"Car, as passenger",0
40215320900,Bicycle,0
40215320900,Walked only,5
40215320900,Train,0
40215320900,Bus,3
40215320900,Taxi/ride-share service,0
40215320900,Other Mode,0
40215320900,Total,23
40414940000,Motorbike/scooter,0
40414940000,"Car, as driver",0
40414940000,"Car, as passenger",0
40414940000,Bicycle,0
40414940000,Walked only,0
40414940000,Train,0
40414940000,Bus,0
40414940000,Taxi/ride-share service,0
40414940000,Other Mode,0
40414940000,Total,0
40414950000,Motorbike/scooter,0
40414950000,"Car, as driver",0
40414950000,"Car, as passenger",0
40414950000,Bicycle,0
40414950000,Walked only,0
40414950000,Train,0
40414950000,Bus,0
40414950000,Taxi/ride-share service,0
40414950000,Other Mode,0
40414950000,Total,0
40415010000,Motorbike/scooter,0
40415010000,"Car, as driver",0
40415010000,"Car, as passenger",0
40415010000,Bicycle,0
40415010000,Walked only,0
40415010000,Train,0
40415010000,Bus,0
40415010000,Taxi/ride-share service,0
40415010000,Other Mode,0
40415010000,Total,0
40415020000,Motorbike/scooter,0
40415020000,"Car, as driver",0
40415020000,"Car, as passenger",0
40415020000,Bicycle,0
40415020000,Walked only,0
40415020000,Train,0
40415020000,Bus,0
40415020000,Taxi/ride-share service,0
40415020000,Other Mode,0
40415020000,Total,0
40415030000,Motorbike/scooter,0
40415030000,"Car, as driver",0
40415030000,"Car, as passenger",0
40415030000,Bicycle,0
40415030000,Walked only,0
40415030000,Train,0
40415030000,Bus,0
40415030000,Taxi/ride-share service,0
40415030000,Other Mode,0
40415030000,Total,0
40415120000,Motorbike/scooter,0
40415120000,"Car, as driver",0
40415120000,"Car, as passenger",0
40415120000,Bicycle,0
40415120000,Walked only,0
40415120000,Train,0
40415120000,Bus,0
40415120000,Taxi/ride-share service,0
40415120000,Other Mode,0
40415120000,Total,0
40415130000,Motorbike/scooter,0
40415130000,"Car, as driver",0
40415130000,"Car, as passenger",0
40415130000,Bicycle,0
40415130000,Walked only,0
40415130000,Train,0
40415130000,Bus,0
40415130000,Taxi/ride-share service,0
40415130000,Other Mode,0
40415130000,Total,0
40415140000,Motorbike/scooter,0
40415140000,"Car, as driver",0
40415140000,"Car, as passenger",0
40415140000,Bicycle,0
40415140000,Walked only,0
40415140000,Train,0
40415140000,Bus,0
40415140000,Taxi/ride-share service,0
40415140000,Other Mode,0
40415140000,Total,0
40415150000,Motorbike/scooter,0
40415150000,"Car, as driver",0
40415150000,"Car, as passenger",0
40415150000,Bicycle,0
40415150000,Walked only,0
40415150000,Train,0
40415150000,Bus,0
40415150000,Taxi/ride-share service,0
40415150000,Other Mode,0
40415150000,Total,0
40415180000,Motorbike/scooter,0
40415180000,"Car, as driver",0
40415180000,"Car, as passenger",0
40415180000,Bicycle,0
40415180000,Walked only,0
40415180000,Train,0
40415180000,Bus,0
40415180000,Taxi/ride-share service,0
40415180000,Other Mode,0
40415180000,Total,0
40415190000,Motorbike/scooter,0
40415190000,"Car, as driver",0
40415190000,"Car, as passenger",0
40415190000,Bicycle,0
40415190000,Walked only,0
40415190000,Train,0
40415190000,Bus,0
40415190000,Taxi/ride-share service,0
40415190000,Other Mode,0
40415190000,Total,0
40415200000,Motorbike/scooter,0
40415200000,"Car, as driver",0
40415200000,"Car, as passenger",0
40415200000,Bicycle,0
40415200000,Walked only,0
40415200000,Train,0
40415200000,Bus,0
40415200000,Taxi/ride-share service,0
40415200000,Other Mode,0
40415200000,Total,0
40415210000,Motorbike/scooter,0
40415210000,"Car, as driver",0
40415210000,"Car, as passenger",0
40415210000,Bicycle,0
40415210000,Walked only,0
40415210000,Train,0
40415210000,Bus,0
40415210000,Taxi/ride-share service,0
40415210000,Other Mode,0
40415210000,Total,0
40415220000,Motorbike/scooter,0
40415220000,"Car, as driver",0
40415220000,"Car, as passenger",0
40415220000,Bicycle,0
40415220000,Walked only,0
40415220000,Train,0
40415220000,Bus,0
40415220000,Taxi/ride-share service,0
40415220000,Other Mode,0
40415220000,Total,0
40415230000,Motorbike/scooter,0
40415230000,"Car, as driver",0
40415230000,"Car, as passenger",0
40415230000,Bicycle,0
40415230000,Walked only,0
40415230000,Train,0
40415230000,Bus,0
40415230000,Taxi/ride-share service,0
40415230000,Other Mode,0
40415230000,Total,0
40415240000,Motorbike/scooter,0
40415240000,"Car, as driver",0
40415240000,"Car, as passenger",0
40415240000,Bicycle,0
40415240000,Walked only,0
40415240000,Train,0
40415240000,Bus,0
40415240000,Taxi/ride-share service,0
40415240000,Other Mode,0
40415240000,Total,0
40415360000,Motorbike/scooter,0
40415360000,"Car, as driver",0
40415360000,"Car, as passenger",0
40415360000,Bicycle,0
40415360000,Walked only,0
40415360000,Train,0
40415360000,Bus,0
40415360000,Taxi/ride-share service,0
40415360000,Other Mode,0
40415360000,Total,0
40415380000,Motorbike/scooter,0
40415380000,"Car, as driver",0
40415380000,"Car, as passenger",0
40415380000,Bicycle,0
40415380000,Walked only,0
40415380000,Train,0
40415380000,Bus,0
40415380000,Taxi/ride-share service,0
40415380000,Other Mode,0
40415380000,Total,0
40415390000,Motorbike/scooter,0
40415390000,"Car, as driver",0
40415390000,"Car, as passenger",0
40415390000,Bicycle,0
40415390000,Walked only,0
40415390000,Train,0
40415390000,Bus,0
40415390000,Taxi/ride-share service,0
40415390000,Other Mode,0
40415390000,Total,0
40415400000,Motorbike/scooter,0
40415400000,"Car, as driver",0
40415400000,"Car, as passenger",0
40415400000,Bicycle,0
40415400000,Walked only,0
40415400000,Train,0
40415400000,Bus,0
40415400000,Taxi/ride-share service,0
40415400000,Other Mode,0
40415400000,Total,0
40415410000,Motorbike/scooter,0
40415410000,"Car, as driver",0
40415410000,"Car, as passenger",0
40415410000,Bicycle,0
40415410000,Walked only,0
40415410000,Train,0
40415410000,Bus,0
40415410000,Taxi/ride-share service,0
40415410000,Other Mode,0
40415410000,Total,0
40429490000,Motorbike/scooter,0
40429490000,"Car, as driver",11
40429490000,"Car, as passenger",0
40429490000,Bicycle,0
40429490000,Walked only,3
40429490000,Train,0
40429490000,Bus,0
40429490000,Taxi/ride-share service,0
40429490000,Other Mode,0
40429490000,Total,20
40000010000,Motorbike/scooter,0
40000010000,"Car, as driver",0
40000010000,"Car, as passenger",0
40000010000,Bicycle,0
40000010000,Walked only,5
40000010000,Train,0
40000010000,Bus,0
40000010000,Taxi/ride-share service,0
40000010000,Other Mode,0
40000010000,Total,5
40000021000,Motorbike/scooter,0
40000021000,"Car, as driver",0
40000021000,"Car, as passenger",0
40000021000,Bicycle,0
40000021000,Walked only,0
40000021000,Train,0
40000021000,Bus,0
40000021000,Taxi/ride-share service,0
40000021000,Other Mode,0
40000021000,Total,0
40000022000,Motorbike/scooter,0
40000022000,"Car, as driver",0
40000022000,"Car, as passenger",0
40000022000,Bicycle,0
40000022000,Walked only,0
40000022000,Train,0
40000022000,Bus,0
40000022000,Taxi/ride-share service,0
40000022000,Other Mode,0
40000022000,Total,0
40000023000,Motorbike/scooter,0
40000023000,"Car, as driver",0
40000023000,"Car, as passenger",0
40000023000,Bicycle,0
40000023000,Walked only,0
40000023000,Train,0
40000023000,Bus,0
40000023000,Taxi/ride-share service,0
40000023000,Other Mode,0
40000023000,Total,0
40000024000,Motorbike/scooter,0
40000024000,"Car, as driver",0
40000024000,"Car, as passenger",0
40000024000,Bicycle,0
40000024000,Walked only,0
40000024000,Train,0
40000024000,Bus,0
40000024000,Taxi/ride-share service,0
40000024000,Other Mode,0
40000024000,Total,4
40000030000,Motorbike/scooter,0
40000030000,"Car, as driver",0
40000030000,"Car, as passenger",0
40000030000,Bicycle,0
40000030000,Walked only,0
40000030000,Train,0
40000030000,Bus,0
40000030000,Taxi/ride-share service,0
40000030000,Other Mode,0
40000030000,Total,0
40000040000,Motorbike/scooter,0
40000040000,"Car, as driver",0
40000040000,"Car, as passenger",0
40000040000,Bicycle,0
40000040000,Walked only,0
40000040000,Train,0
40000040000,Bus,4
40000040000,Taxi/ride-share service,0
40000040000,Other Mode,0
40000040000,Total,8
40000051000,Motorbike/scooter,0
40000051000,"Car, as driver",0
40000051000,"Car, as passenger",0
40000051000,Bicycle,0
40000051000,Walked only,0
40000051000,Train,0
40000051000,Bus,0
40000051000,Taxi/ride-share service,0
40000051000,Other Mode,0
40000051000,Total,0
40000052000,Motorbike/scooter,0
40000052000,"Car, as driver",0
40000052000,"Car, as passenger",0
40000052000,Bicycle,0
40000052000,Walked only,20
40000052000,Train,0
40000052000,Bus,10
40000052000,Taxi/ride-share service,0
40000052000,Other Mode,0
40000052000,Total,35
40000053000,Motorbike/scooter,0
40000053000,"Car, as driver",0
40000053000,"Car, as passenger",0
40000053000,Bicycle,0
40000053000,Walked only,0
40000053000,Train,0
40000053000,Bus,0
40000053000,Taxi/ride-share service,0
40000053000,Other Mode,0
40000053000,Total,0
40000060000,Motorbike/scooter,0
40000060000,"Car, as driver",0
40000060000,"Car, as passenger",0
40000060000,Bicycle,0
40000060000,Walked only,3
40000060000,Train,0
40000060000,Bus,0
40000060000,Taxi/ride-share service,0
40000060000,Other Mode,0
40000060000,Total,9
40000071000,Motorbike/scooter,0
40000071000,"Car, as driver",10
40000071000,"Car, as passenger",0
40000071000,Bicycle,0
40000071000,Walked only,44
40000071000,Train,0
40000071000,Bus,30
40000071000,Taxi/ride-share service,0
40000071000,Other Mode,0
40000071000,Total,91
40000073000,Motorbike/scooter,0
40000073000,"Car, as driver",0
40000073000,"Car, as passenger",0
40000073000,Bicycle,0
40000073000,Walked only,0
40000073000,Train,0
40000073000,Bus,0
40000073000,Taxi/ride-share service,0
40000073000,Other Mode,0
40000073000,Total,0
40000074000,Motorbike/scooter,0
40000074000,"Car, as driver",0
40000074000,"Car, as passenger",0
40000074000,Bicycle,0
40000074000,Walked only,0
40000074000,Train,0
40000074000,Bus,0
40000074000,Taxi/ride-share service,0
40000074000,Other Mode,0
40000074000,Total,0
40000090000,Motorbike/scooter,0
40000090000,"Car, as driver",9
40000090000,"Car, as passenger",0
40000090000,Bicycle,0
40000090000,Walked only,7
40000090000,Train,0
40000090000,Bus,3
40000090000,Taxi/ride-share service,0
40000090000,Other Mode,0
40000090000,Total,22
40000142000,Motorbike/scooter,0
40000142000,"Car, as driver",3
40000142000,"Car, as passenger",0
40000142000,Bicycle,0
40000142000,Walked only,6
40000142000,Train,0
40000142000,Bus,0
40000142000,Taxi/ride-share service,0
40000142000,Other Mode,0
40000142000,Total,8
40000152000,Motorbike/scooter,0
40000152000,"Car, as driver",0
40000152000,"Car, as passenger",0
40000152000,Bicycle,0
40000152000,Walked only,4
40000152000,Train,0
40000152000,Bus,0
40000152000,Taxi/ride-share service,0
40000152000,Other Mode,0
40000152000,Total,9
40000153000,Motorbike/scooter,0
40000153000,"Car, as driver",0
40000153000,"Car, as passenger",0
40000153000,Bicycle,0
40000153000,Walked only,0
40000153000,Train,0
40000153000,Bus,0
40000153000,Taxi/ride-share service,0
40000153000,Other Mode,0
40000153000,Total,0
40000154000,Motorbike/scooter,0
40000154000,"Car, as driver",0
40000154000,"Car, as passenger",0
40000154000,Bicycle,0
40000154000,Walked only,0
40000154000,Train,0
40000154000,Bus,0
40000154000,Taxi/ride-share service,0
40000154000,Other Mode,0
40000154000,Total,0
40000155000,Motorbike/scooter,0
40000155000,"Car, as driver",0
40000155000,"Car, as passenger",0
40000155000,Bicycle,0
40000155000,Walked only,0
40000155000,Train,0
40000155000,Bus,0
40000155000,Taxi/ride-share service,0
40000155000,Other Mode,0
40000155000,Total,0
40000161000,Motorbike/scooter,0
40000161000,"Car, as driver",0
40000161000,"Car, as passenger",0
40000161000,Bicycle,0
40000161000,Walked only,0
40000161000,Train,0
40000161000,Bus,0
40000161000,Taxi/ride-share service,0
40000161000,Other Mode,0
40000161000,Total,0
40000162000,Motorbike/scooter,0
40000162000,"Car, as driver",0
40000162000,"Car, as passenger",0
40000162000,Bicycle,0
40000162000,Walked only,0
40000162000,Train,0
40000162000,Bus,0
40000162000,Taxi/ride-share service,0
40000162000,Other Mode,0
40000162000,Total,0
40000163000,Motorbike/scooter,0
40000163000,"Car, as driver",0
40000163000,"Car, as passenger",0
40000163000,Bicycle,0
40000163000,Walked only,0
40000163000,Train,0
40000163000,Bus,0
40000163000,Taxi/ride-share service,0
40000163000,Other Mode,0
40000163000,Total,0
40000164000,Motorbike/scooter,0
40000164000,"Car, as driver",0
40000164000,"Car, as passenger",0
40000164000,Bicycle,0
40000164000,Walked only,0
40000164000,Train,0
40000164000,Bus,0
40000164000,Taxi/ride-share service,0
40000164000,Other Mode,0
40000164000,Total,0
40000165000,Motorbike/scooter,0
40000165000,"Car, as driver",0
40000165000,"Car, as passenger",0
40000165000,Bicycle,0
40000165000,Walked only,0
40000165000,Train,0
40000165000,Bus,0
40000165000,Taxi/ride-share service,0
40000165000,Other Mode,0
40000165000,Total,0
40000170000,Motorbike/scooter,0
40000170000,"Car, as driver",4
40000170000,"Car, as passenger",0
40000170000,Bicycle,0
40000170000,Walked only,9
40000170000,Train,0
40000170000,Bus,0
40000170000,Taxi/ride-share service,0
40000170000,Other Mode,0
40000170000,Total,10
40000220000,Motorbike/scooter,0
40000220000,"Car, as driver",14
40000220000,"Car, as passenger",3
40000220000,Bicycle,0
40000220000,Walked only,6
40000220000,Train,0
40000220000,Bus,0
40000220000,Taxi/ride-share service,0
40000220000,Other Mode,0
40000220000,Total,26
40000230000,Motorbike/scooter,0
40000230000,"Car, as driver",4
40000230000,"Car, as passenger",0
40000230000,Bicycle,0
40000230000,Walked only,5
40000230000,Train,0
40000230000,Bus,0
40000230000,Taxi/ride-share service,0
40000230000,Other Mode,0
40000230000,Total,9
40000240000,Motorbike/scooter,0
40000240000,"Car, as driver",11
40000240000,"Car, as passenger",3
40000240000,Bicycle,0
40000240000,Walked only,7
40000240000,Train,0
40000240000,Bus,0
40000240000,Taxi/ride-share service,0
40000240000,Other Mode,0
40000240000,Total,27
40000290000,Motorbike/scooter,0
40000290000,"Car, as driver",25
40000290000,"Car, as passenger",0
40000290000,Bicycle,0
40000290000,Walked only,14
40000290000,Train,0
40000290000,Bus,3
40000290000,Taxi/ride-share service,0
40000290000,Other Mode,0
40000290000,Total,41
40000360000,Motorbike/scooter,0
40000360000,"Car, as driver",4
40000360000,"Car, as passenger",0
40000360000,Bicycle,0
