2-digit level  MTWP Method of Travel to Work,"Car, as driver","Car, as passenger",Train,Bus,Taxi/ride-share service,Bicycle,Walked only,Total
40002753000,0,0,0,0,0,0,0,0
40003080000,3,0,0,0,0,0,0,6
40244331000,0,0,0,0,0,0,0,0
40244332000,0,0,0,0,0,0,0,0
40244340000,0,0,0,0,0,0,0,0
40244350000,0,0,0,0,0,0,0,0
40244360000,0,0,0,0,0,0,0,0
40244370000,0,0,0,0,0,0,0,0
40244380000,0,0,0,0,0,0,0,6
40244390000,4,0,0,0,0,0,0,3
40244400000,0,0,0,0,0,0,0,0
40244410000,0,0,0,0,0,0,0,6
40244420000,0,0,0,0,0,0,0,0
40244430000,0,0,0,0,0,0,0,0
40000010000,0,0,0,0,0,0,5,5
40000550000,0,0,0,0,0,0,0,0
40414710000,0,0,0,0,0,0,0,0
40415320000,0,0,0,0,0,0,0,0
40415330000,0,0,0,0,0,0,0,0
40000560000,0,0,0,0,0,0,0,0
40414740000,0,0,0,0,0,0,0,0
40414860000,0,0,0,0,0,0,0,0
40414880000,0,0,0,0,0,0,0,0
40414890000,0,0,0,0,0,0,0,0
40415350000,0,0,0,0,0,0,0,0
40003770000,0,0,0,0,0,0,0,0
40003780000,0,0,0,0,0,0,0,0
40415250000,0,0,0,0,0,0,0,0
40415260000,0,0,0,0,0,0,0,0
40415340000,0,0,0,0,0,0,0,0
40000370000,0,0,0,0,0,0,0,0
40000460000,0,0,0,0,0,0,0,0
40244440000,0,0,0,0,0,0,0,0
40415110000,0,0,0,0,0,0,0,0
40000760000,11,3,0,3,0,3,8,24
40001390000,17,0,0,0,0,0,11,29
40002090000,13,3,0,0,0,8,6,31
40003430000,7,0,0,5,0,0,9,14
40003440000,0,0,0,3,0,0,6,6
40003450000,17,0,0,3,0,0,0,19
40244040000,0,0,0,0,0,0,4,5
40000420000,0,0,0,0,0,0,0,0
40215264800,0,0,0,0,0,0,0,0
40414870000,0,0,0,0,0,0,0,0
40415270000,0,0,0,0,0,0,0,0
40415280000,0,0,0,0,0,0,0,0
40415290000,0,0,0,0,0,0,0,0
40415300000,0,0,0,0,0,0,0,0
40415310000,0,0,0,0,0,0,0,0
40000671000,0,0,0,0,0,0,0,0
40000981000,0,0,0,0,0,0,0,0
40000982000,15,3,0,3,0,0,9,29
40001530000,0,0,0,0,0,0,0,3
40002140000,34,11,0,15,4,0,55,115
40002900000,3,0,0,3,0,0,10,19
40003060000,0,0,0,0,0,0,0,0
40214996100,34,9,0,6,0,0,37,87
40215023400,0,0,0,4,0,0,9,20
40414770000,0,0,0,0,0,0,0,0
40000071000,10,0,0,30,0,0,44,88
40000073000,0,0,0,0,0,0,0,0
40000074000,0,0,0,0,0,0,0,0
40002181000,0,0,0,0,0,0,0,0
40002182000,0,0,0,0,0,0,4,3
40002183000,14,0,0,7,0,0,14,35
40002191000,0,0,0,0,0,0,0,0
40002193000,0,0,0,0,0,0,0,5
40002880000,0,0,0,0,0,0,0,6
40215151900,0,0,0,0,0,0,0,0
40000530000,8,0,0,0,0,0,16,29
40001171000,0,0,0,0,0,0,0,0
40001172000,0,0,0,0,0,0,0,0
40001173000,0,0,0,0,0,0,0,0
40001174000,0,0,0,0,0,0,0,0
40001700000,9,0,0,0,0,0,8,19
40001710000,8,0,0,0,0,0,18,26
40002380000,5,0,0,0,0,0,8,14
40003020000,0,0,0,0,0,0,5,9
40003030000,5,0,0,3,0,0,9,20
40215127400,0,0,0,0,0,0,0,3
40215291500,3,0,0,0,0,0,0,6
40003090000,0,0,0,0,0,0,0,0
40414750000,0,0,0,0,0,0,0,0
40000290000,25,0,0,3,0,0,14,41
40000780000,15,4,0,0,0,0,6,26
40002130000,7,0,0,0,0,0,11,21
40003070000,17,0,0,4,0,0,18,42
40243830000,11,0,0,0,0,0,13,27
40000052000,0,0,0,10,0,0,20,35
40000053000,0,0,0,0,0,0,0,0
40001732000,0,0,0,0,0,0,0,0
40244461000,0,0,0,0,0,0,0,0
40244462000,0,0,0,0,0,0,0,0
40244470000,4,0,4,14,0,3,21,42
40002411000,14,0,0,6,0,6,13,34
40002412000,0,0,0,0,0,0,0,0
40003050000,17,4,0,18,0,0,18,63
40215138800,7,4,6,11,0,0,22,52
40215269900,6,0,0,0,0,0,0,3
40000021000,0,0,0,0,0,0,0,0
40000022000,0,0,0,0,0,0,0,0
40000023000,0,0,0,0,0,0,0,0
40000024000,0,0,0,0,0,0,0,4
40000161000,0,0,0,0,0,0,0,0
40000220000,14,3,0,0,0,0,6,27
40000991000,0,0,0,0,0,0,0,0
40000992000,0,0,0,0,0,0,0,0
40001230000,0,0,0,0,0,0,0,0
40002241000,0,0,0,0,0,0,0,0
40002242000,3,0,0,0,0,0,0,6
40002243000,0,0,0,0,0,0,0,0
40002860000,0,0,0,0,0,0,0,0
40002930000,0,0,0,0,0,0,0,0
40003100000,0,0,0,0,0,0,0,0
40244140000,0,0,0,0,0,0,0,9
40244150000,0,0,0,0,0,0,0,0
40244160000,0,0,0,0,0,0,0,0
40244170000,0,0,0,0,0,0,0,0
40414960000,0,0,0,0,0,0,0,0
40414970000,0,0,0,0,0,0,0,0
40414990000,0,0,0,0,0,0,0,0
40429500000,3,0,0,16,0,0,41,65
40001094000,3,0,0,3,0,0,14,29
40001095000,3,0,0,0,0,0,8,16
40001430000,12,0,0,0,0,6,15,24
40002260000,0,0,0,0,0,0,0,0
40002800000,0,0,0,0,0,0,0,0
40002941000,19,4,0,3,0,0,20,35
